"Mkt Al","Orig","Dest","Op Al","Stop-1 Al","Stop-1 Airport","Stop-2 Al","Stop-2 Airport","Total Pax","Pax Share","% POO Orig","% POO Dest","% POO Other","Fare","Rev","Yield","Year","Month","Class","Year-Month-Day"
"CX","HAN","SYD","CX","CX","HKG","CX","MEL","4.3331","0.000368261486823","100","0","0","379.5664305001039","1644.6993","0.0488507963203543","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","FOC","SYD","MF",NULL,NULL,NULL,NULL,"75.5099","0.0064174351027816","95.83209710249916","4.167902897500857","0","293.0718263433007","22129.8243","0.0395196157799842","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","FOC","SYD","MF","QF","MEL",NULL,NULL,"4.6878","0.0003984067291152","100","0","0","293.0720807201672","1373.8633","0.0395196500817325","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","TNA","SYD","HU","HU","XIY","MF","XMN","7.9824","0.0006784081817674","100","0","0","329.21666416115454","2627.9391","0.0383153681221828","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","TNA","SYD","MF","MF","FOC",NULL,NULL,"8.8281","0.0007502825302492","100","0","0","329.2145082180764","2906.3386","0.0383151172061093","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","TNA","SYD","MF","MF","XMN","QF","MEL","3.6549","0.0003106226277237","100","0","0","329.21084024186706","1203.2327","0.0383146903144176","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","TNA","SYD","MF","MF","DLC","MF","XMN","1.3158","0.0001118272055484","100","0","0","388.2251101991184","510.8266","0.0451829741044721","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","TNA","SYD","MF","MF","XMN","VA","MEL","3.2565","0.0002767634099927","100","0","0","329.2158145247966","1072.0913","0.0383152692385801","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","TNA","SYD","SC","MF","FOC",NULL,NULL,"0.4912","4.174610378885884e-05","100","0","0","388.2337133550489","190.7004","0.0451839753693607","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","SHA","SYD","MU","MF","XMN",NULL,NULL,"2.4289","0.0002064273442442","98.81","1.1900000000000002","0","370.1364815348512","899.0245","0.0470812990836698","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","SHA","SYD","MF","MF","FOC",NULL,NULL,"7.2739","0.0006181941863798","100","0","0","306.70183807860985","2230.9185","0.0390124229533173","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","SHA","SYD","MF","MF","FOC","QF","MEL","6.3702","0.0005413905341119","96.36127955166243","3.638720448337572","0","306.70410662145616","1953.7665","0.0390127115115912","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","SHA","SYD","MF","MF","XMN","QF","MEL","7.2602","0.0006170298508303","96.3616467865899","3.6383532134100975","0","306.70743230214043","2226.7573","0.0390131345376229","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","SHA","SYD","MF","MF","FOC","VA","MEL","2.7645","0.0002349493158068","96.35972110689094","3.640278893109061","0","306.69043226623256","847.8457","0.0390109721358739","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","SHA","SYD","MF","MF","XMN","VA","MEL","5.9394","0.0005047777053003","96.36099622857527","3.639003771424723","0","306.70109775398186","1821.6205","0.0390123287841474","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","PKX","SYD","CZ","MF","FOC",NULL,NULL,"0.5626","4.781424672559442e-05","99.85","0.15","0","394.09793814432993","221.7195","0.0443544837589631","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","PKX","SYD","CZ","MF","XMN",NULL,NULL,"3.0435","0.000258660966778","99.85","0.15","0","394.0860193855758","1199.4008","0.044353142340142","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","PKX","SYD","MF","MF","FOC",NULL,NULL,"18.8048","0.0015981822730633","100","0","0","338.2239640942738","6360.234","0.0380660436665809","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","PKX","SYD","MF","MF","FOC","QF","MEL","2.3026","0.0001956933603099","98.63885042994876","1.3617276122643966","0","338.2205767393381","778.7867","0.0380656624304339","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","PKX","SYD","MF","MF","XMN","QF","MEL","6.7065","0.0005699719972719","98.63905494669348","1.361523298292701","0","338.22482666070226","2268.3048","0.0380661407457202","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","PKX","SYD","MF","MF","FOC","VA","MEL","1.9502","0.0001657435904092","98.63814685673265","1.3624315454825149","0","338.20746590093324","659.5722","0.0380641868467965","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","PKX","SYD","MF","MF","XMN","VA","MEL","6.7012","0.0005695215608914","98.63883588014087","1.3617423745000896","0","338.221811018922","2266.492","0.0380658013447201","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MF","TFU","SYD","MF","MF","FOC",NULL,NULL,"3.7733","0.0003206852064871","100","0","0","330.6980096997323","1247.8228","0.0382727166780707","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"MH","MNL","SYD","PR","MH","KUL",NULL,NULL,"1.0433","8.866797655316861e-05","100","0","0","321.32301351480885","335.2363","0.051472251432877","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"VN","NGO","SYD","VN","VN","HAN",NULL,NULL,"0.4422","3.758169196953049e-05","98.64314789687924","1.35685210312076","0","379.4819086386251","167.8069","0.0488905505256096","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"VN","NGO","SYD","VN","VN","SGN",NULL,NULL,"6.4053","0.0005443736127825","98.64955583657284","1.3504441634271618","0","379.5493263391254","2431.1273","0.0488992362848451","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"VN","KHH","SYD","VJ","VN","SGN",NULL,NULL,"5.6477","0.0004799867067759","100","0","0","490.4244736795509","2769.7703","0.0695108665271764","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"VN","KHH","SYD","VN","VN","HAN",NULL,NULL,"58.2933","0.0049542307654623","100","0","0","490.4284540418881","28588.693","0.0695114306883265","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"VN","KHH","SYD","VN","VN","SGN",NULL,NULL,"66.7395","0.0056720563799196","100","0","0","490.42809730369567","32730.926","0.069511380125636","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"VN","PNH","SYD","K6","VN","SGN",NULL,NULL,"2.5672","0.0002181811841342","100","0","0","351.2903162979121","901.8325","0.0500072581676944","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"VN","KHI","SYD","FZ","EK","DXB","VN","SGN","4.9907","0.0004241495931984","100","0","0","504.3988218085639","2517.3032","0.0458482879143758","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"VN","REP","SYD","VN","VN","SGN",NULL,NULL,"4.5054","0.0003829049185877","100","0","0","360.0522484130155","1622.1794","0.0496396924978383","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"VN","REP","SYD","VN","VN","SGN","VA","MEL","0.4988","4.23920125608363e-05","100","0","0","360.037690457097","179.5868","0.0496376854212034","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"JQ","DMK","SYD","DD","JQ","HKT",NULL,NULL,"0.1844","1.567178652008463e-05","95.16574837310196","4.842993492407809","0","296.63015184381777","54.6986","0.0393924835360373","2023","Jan","DiscountEco","2023-01-01 00:00:00"
